id,owner_id,language,created_at,updated_at,stargazers_count,forks_count
376956154,4475142,TypeScript,2021-06-14,2021-10-08,0,0
377219940,4475142,TypeScript,2021-06-15,2021-06-30,0,0
364397317,4475142,TypeScript,2021-05-04,2022-05-12,1,0
626122784,4475142,TypeScript,2023-04-10,2023-04-25,0,0
69358907,4475142,JavaScript,2016-09-27,2016-09-27,0,0
629018255,4475142,,2023-04-17,2023-01-31,0,0
630369688,4475142,,2023-04-20,2023-04-20,0,0
93079736,4475142,Java,2017-06-01,2017-06-01,0,0
483532967,4475142,TypeScript,2022-04-20,2022-04-20,0,0
66828387,4475142,JavaScript,2016-08-29,2016-08-29,0,0
211525455,4475142,Jupyter Notebook,2019-09-28,2019-10-07,0,0
37422641,4475142,HTML,2015-06-14,2015-06-14,0,0
628672336,4475142,,2023-04-16,2024-01-08,0,0
628674540,4475142,,2023-04-16,2024-02-06,0,0
628677970,4475142,,2023-04-16,2024-02-15,0,0
56773705,4475142,Ruby,2016-04-21,2016-04-22,0,1
140182133,4475142,HTML,2018-07-08,2018-07-19,0,1
76167491,4475142,Java,2016-12-11,2016-12-11,0,0
73945170,4475142,JavaScript,2016-11-16,2016-11-16,0,0
55211486,4475142,Java,2016-04-01,2016-04-01,0,0
68455942,4475142,Java,2016-09-17,2016-09-17,0,0
55142053,4475142,Java,2016-03-31,2016-03-31,0,0
75197227,4475142,JavaScript,2016-11-30,2016-11-30,0,0
80298495,4475142,Java,2017-01-28,2017-01-28,0,0
73946049,4475142,Java,2016-11-16,2016-11-16,1,0
73946180,4475142,JavaScript,2016-11-16,2016-11-16,0,0
18507272,4475142,JavaScript,2014-04-07,2019-03-04,0,0
607692028,4475142,,2023-02-28,2023-02-28,0,0
463074963,4477245,,2022-02-24,2022-02-24,0,0
40087394,4503513,Java,2015-08-02,2015-08-02,0,0
68315210,4503513,Python,2016-09-15,2020-06-15,0,0
38756519,4503513,Python,2015-07-08,2015-07-08,0,0
38682751,4503513,,2015-07-07,2015-07-07,0,0
507674431,4592898,,2022-06-26,2022-06-26,0,0
507681481,4592898,,2022-06-26,2022-06-26,0,0
507676460,4592898,,2022-06-26,2022-06-26,0,0
10438481,4592898,Java,2013-06-02,2013-06-02,0,0
319863079,4643304,,2020-12-09,2021-07-30,1,0
259994877,4643304,JavaScript,2020-04-29,2022-01-20,1,1
490241376,4643304,JavaScript,2022-05-09,2023-10-04,0,0
347152853,4643304,,2021-03-12,2021-03-12,0,0
287578613,4643304,JavaScript,2020-08-14,2021-06-28,1,0
296134179,4643304,JavaScript,2020-09-16,2021-07-28,0,0
404803434,4643304,TypeScript,2021-09-09,2021-09-30,0,0
11740584,4716778,Ruby,2013-07-29,2014-02-15,0,0
685117002,4716778,TypeScript,2023-08-30,2023-08-30,0,0
11528887,4716778,Ruby,2013-07-19,2013-12-06,0,0
23652207,4716778,Java,2014-09-04,2014-09-04,3,1
534240416,4716778,,2022-09-08,2022-09-08,0,0
24405711,4716778,,2014-09-24,2014-09-24,0,0
11792258,4716778,Ruby,2013-07-31,2014-05-16,0,0
16378859,4716778,,2014-01-30,2014-01-30,0,0
12057885,4716778,Ruby,2013-08-12,2023-06-07,0,0
30172830,4716778,JavaScript,2015-02-02,2015-02-02,0,0
10786974,4736850,,2013-06-19,2013-11-28,0,2
10819451,4736850,,2013-06-20,2014-03-30,0,0
661699075,4808798,,2023-07-03,2023-07-03,0,0
647672972,4808798,Go,2023-05-31,2023-06-12,0,0
203177180,4808798,SCSS,2019-08-19,2023-02-19,0,0
674364469,4808798,JavaScript,2023-08-03,2023-08-03,0,0
573645467,4808798,JavaScript,2022-12-03,2022-12-03,0,0
573610600,4808798,Go,2022-12-02,2023-06-04,1,0
723417161,4808798,,2023-11-25,2023-11-25,0,0
369333746,5019560,,2021-05-20,2021-05-20,0,0
164915566,5019560,HTML,2019-01-09,2019-03-20,0,0
399879846,5019560,JavaScript,2021-08-25,2021-09-26,2,0
371419551,5019560,JavaScript,2021-05-27,2024-04-10,3,1
100991520,5019560,JavaScript,2017-08-21,2023-01-28,0,2
332829180,5019560,,2021-01-25,2021-01-25,0,0
356030569,5019560,JavaScript,2021-04-08,2022-05-23,1,0
353071632,5019560,JavaScript,2021-03-30,2022-01-07,2,1
339524270,5019560,JavaScript,2021-02-16,2021-08-23,1,1
343051604,5019560,TypeScript,2021-02-28,2021-03-03,1,0
274220128,5019560,TypeScript,2020-06-22,2020-06-22,0,0
274213945,5019560,TypeScript,2020-06-22,2022-03-14,0,0
272087014,5019560,TypeScript,2020-06-13,2022-05-23,0,0
246629195,5019560,Vue,2020-03-11,2023-04-25,1,1
317236664,5019560,,2020-11-30,2020-11-30,0,0
332798877,5019560,JavaScript,2021-01-25,2021-01-25,0,0
355002583,5019560,,2021-04-05,2021-04-05,0,0
600404544,5019560,,2023-02-11,2023-03-08,1,0
381704413,5019560,,2021-06-30,2021-09-26,1,0
186688247,5019560,C#,2019-05-14,2019-05-14,0,0
175488561,5019560,C#,2019-03-13,2019-03-14,1,0
362544690,5019560,Makefile,2021-04-28,2021-09-26,2,0
322900258,5019560,,2020-12-19,2020-12-19,0,0
321342488,5019560,,2020-12-14,2020-12-14,0,0
296105004,5019560,,2020-09-16,2020-09-16,0,0
648267967,5019560,,2023-06-01,2023-06-01,0,0
338653661,5019560,,2021-02-13,2021-02-13,0,0
166088946,5019560,Java,2019-01-16,2024-04-08,0,0
