user_id,location
44199686.0,Mozambique
44291462.0,Mozambique
44316750.0,Mozambique
44772199.0,"Beira, Mozambique"
45578804.0,Mozambique
46033905.0,Mozambique
46322274.0,Mozambique
46411490.0,Mozambique/Quelimane
46556049.0,Mocambique Beira 
46646020.0,Mozambique
46774978.0,Mozambique 
46866566.0,Mozambique
47160679.0,Mozambique
47382637.0,Mozambique
47387872.0,Mozambique
47694778.0,Mozambique
47828211.0,Beira - Mozambique
47873309.0,Mozambique
48048345.0,Mozambique
48277037.0,Mozambique
48884308.0,Mozambique
48907382.0,Mozambique
49094233.0,Mozambique
49094323.0,Mozambique
49237556.0,Mozambique
49280636.0,Mozambique
49683080.0,Mozambique
49757028.0,Mozambique
49845282.0,Mozambique
50153377.0,Mozambique
50258634.0,Mozambique
50259548.0,Mozambique
