id,city_id,followers,following,created_at,updated_at
31260297,0,9,41,2017-08-22,2024-03-23
31282507,6,1,6,2017-08-23,2022-11-12
31302838,0,0,0,2017-08-24,2017-08-24
31362149,0,27,4,2017-08-26,2020-05-19
31407020,,3,3,2017-08-28,2020-09-22
31408474,,31,78,2017-08-28,2024-04-05
31442449,0,10,9,2017-08-29,2019-10-17
31477051,9,2,12,2017-08-30,2020-07-15
31516502,0,0,1,2017-08-31,2023-07-03
31533519,,3,2,2017-09-01,2020-06-05
31686963,,1,1,2017-09-06,2022-10-28
31694259,,1,1,2017-09-06,2021-05-18
31759362,0,0,0,2017-09-08,2024-04-03
31899027,0,4,3,2017-09-12,2024-02-26
31945644,5,5,5,2017-09-14,2024-04-03
31945681,5,1,0,2017-09-14,2022-08-20
31982614,,0,1,2017-09-15,2023-04-25
32058262,0,6,4,2017-09-18,2023-09-20
32066945,0,13,36,2017-09-18,2024-04-04
32170223,0,0,0,2017-09-21,2021-06-03
32215152,0,3,0,2017-09-23,2023-09-18
32295997,0,0,0,2017-09-26,2024-02-08
32304877,10,1,0,2017-09-26,2021-02-08
32305442,0,2,0,2017-09-26,2022-07-12
32402003,0,23,13,2017-09-29,2024-02-11
32419747,0,0,1,2017-09-30,2021-06-15
32432355,10,0,0,2017-10-01,2023-09-28
32514855,0,13,15,2017-10-04,2023-08-08
32597978,0,0,0,2017-10-07,2023-10-09
32665277,0,0,3,2017-10-10,2021-05-07
32742390,0,2,1,2017-10-12,2024-03-24
32770980,0,0,0,2017-10-13,2024-01-19
32927860,0,0,0,2017-10-19,2023-08-29
32933071,,0,0,2017-10-19,2017-10-19
32957616,0,0,0,2017-10-20,2022-05-29
33057315,,0,0,2017-10-24,2024-02-07
33373038,0,2,3,2017-11-04,2023-06-17
33562041,0,6,0,2017-11-11,2023-09-29
33597440,,1,2,2017-11-12,2024-03-13
33627064,,1,2,2017-11-13,2023-09-05
33693074,0,5,3,2017-11-15,2023-02-01
33702490,0,47,47,2017-11-15,2023-12-26
33719430,0,0,1,2017-11-16,2023-01-26
